,Country Name,Country Code,Indicator Name,Indicator Code,1962,1967,1972,1977,1982,1987,1992,1997,2002,2007,2012,2017
80,Georgia,GEO,Net migration,SM.POP.NETM,96284.0,85200.0,-73426.0,-95445.0,-47827.0,-43659.0,-591854.0,-653597.0,-148337.0,-119811.0,-95340.0,-50000.0
81,Ghana,GHA,Net migration,SM.POP.NETM,30000.0,-260133.0,-143000.0,-459839.0,-12339.0,-40000.0,-16000.0,-126999.0,25002.0,150000.0,-50000.0,-50000.0
82,Gibraltar,GIB,Net migration,SM.POP.NETM,,,,,,,,,,,,
83,Guinea,GIN,Net migration,SM.POP.NETM,0.0,0.0,-87571.0,-156695.0,-83323.0,0.0,-134975.0,-181099.0,-349998.0,-311422.0,-293749.0,-20000.0
84,"Gambia, The",GMB,Net migration,SM.POP.NETM,5282.0,13403.0,14403.0,14580.0,14883.0,60597.0,2620.0,-4570.0,1517.0,-15436.0,-15436.0,-15436.0
85,Guinea-Bissau,GNB,Net migration,SM.POP.NETM,-20001.0,-7230.0,-14999.0,-79367.0,-30001.0,-28004.0,-29999.0,-41167.0,-27932.0,-17502.0,-7005.0,-6996.0
86,Equatorial Guinea,GNQ,Net migration,SM.POP.NETM,2998.0,5001.0,-70000.0,-29998.0,64999.0,20000.0,20002.0,35001.0,50003.0,80001.0,89999.0,79998.0
87,Greece,GRC,Net migration,SM.POP.NETM,-256691.0,-187126.0,20771.0,297368.0,100241.0,178887.0,459178.0,297431.0,113586.0,-370769.0,-161799.0,-80000.0
88,Grenada,GRD,Net migration,SM.POP.NETM,-9450.0,-9731.0,-11759.0,-13206.0,-586.0,-15189.0,-4210.0,-3964.0,-3511.0,-3526.0,-1000.0,-1000.0
89,Greenland,GRL,Net migration,SM.POP.NETM,,,,,,,,,,,,
90,Guatemala,GTM,Net migration,SM.POP.NETM,-10311.0,-41269.0,-137529.0,-258519.0,-283074.0,-299909.0,-367469.0,-402326.0,-281050.0,-114231.0,-50131.0,-46073.0
91,Guam,GUM,Net migration,SM.POP.NETM,-2905.0,-1442.0,-2131.0,-1511.0,109.0,99.0,1739.0,-4116.0,-9556.0,-9776.0,-7594.0,-2532.0
92,Guyana,GUY,Net migration,SM.POP.NETM,-14669.0,-42559.0,-54362.0,-52341.0,-97340.0,-102648.0,-57867.0,-86647.0,-63249.0,-50078.0,-34999.0,-30001.0
93,High income,HIC,Net migration,SM.POP.NETM,3941008.0,4229964.0,7251511.0,7260230.0,6510855.0,8249599.0,10289281.0,13436955.0,18179172.0,22605622.0,17992038.0,15844525.0
94,"Hong Kong SAR, China",HKG,Net migration,SM.POP.NETM,-27385.0,71590.0,73970.0,390487.0,160605.0,221262.0,156486.0,375683.0,64797.0,89747.0,74892.0,146542.0
95,Honduras,HND,Net migration,SM.POP.NETM,-29002.0,-41000.0,-45999.0,-50999.0,-61998.0,-73998.0,-77999.0,-64998.0,-41999.0,-25000.0,-30000.0,-34000.0
96,Heavily indebted poor countries (HIPC),HPC,Net migration,SM.POP.NETM,-243146.0,-137303.0,-1026521.0,-2923589.0,-5279936.0,-2910055.0,2469854.0,-3368158.0,-1747428.0,-4868903.0,-2882169.0,-1462971.0
97,Croatia,HRV,Net migration,SM.POP.NETM,1854.0,-1225.0,-18403.0,18681.0,54369.0,26145.0,-143579.0,-188129.0,-2580.0,-10499.0,-38493.0,-40004.0
98,Haiti,HTI,Net migration,SM.POP.NETM,-51997.0,-58003.0,-88000.0,-97999.0,-124999.0,-135001.0,-140001.0,-144998.0,-139999.0,-138004.0,-150000.0,-175000.0
99,Hungary,HUN,Net migration,SM.POP.NETM,21715.0,15731.0,-24419.0,13040.0,-115800.0,-91554.0,99980.0,78562.0,61589.0,25150.0,29999.0,29999.0
100,IBRD only,IBD,Net migration,SM.POP.NETM,-3572773.0,-3639834.0,-2657570.0,-4274006.0,-953415.0,-4254770.0,-9685437.0,-8630309.0,-10812375.0,-11595016.0,-2178391.0,-6056175.0
101,IDA & IBRD total,IBT,Net migration,SM.POP.NETM,-3963584.0,-4173652.0,-7497326.0,-7486372.0,-6728516.0,-8916507.0,-11085383.0,-14297599.0,-18637281.0,-23109254.0,-18168999.0,-15664439.0
102,IDA total,IDA,Net migration,SM.POP.NETM,-390811.0,-533818.0,-4839756.0,-3212366.0,-5775101.0,-4661737.0,-1399946.0,-5667290.0,-7824906.0,-11514238.0,-15990608.0,-9608264.0
